LIHS Metric,Correlation Strength 2011,Correlation Strength 2016
Method of Travel to Work - Employed Persons - Census Used one method - Car (as passenger) (no.),-0.04877184100483312,-0.022628719962041577
Household Stress - Census Households where rent payments are less than 30% of household income (%),-0.08204895114077232,-0.03352011691295743
Method of Travel to Work - Employed Persons - Census Other - Method of travel not stated (no.),-0.08986577066134074,-0.16143107864259068
Social Marital Status & Registered Marital Status - Persons aged 15 years and over - Census Married (%),-0.09498608218872792,-0.04805610289018014
Household Stress - Census Households where mortgage repayments are less than 30% of household income (%),-0.11970793616311187,0.0456514182346134
Dwelling Structure - Private dwellings - Census Separate house (no.),-0.12057410499832188,-0.1690056123726602
Unpaid Child Care - Proportion of persons aged 15 years and over - Census Persons who cared for other child/children (%),-0.12629524182968765,-0.07969875556691203
Tenure Type - Occupied private dwellings - Census Other tenure type (%),-0.14155451049154333,-0.09344988209060759
Families by Type - Census One parent families with non-dependent children only (no.),-0.14337507919175296,-0.14429985892540637
AEDC - Physical Health and Wellbeing - Developmentally At Risk (%),-0.1582911706563713,-0.13147583298080412
Dwelling Structure - Private dwellings - Census Other dwelling (no.),-0.17369036603417545,-0.08847541763891904
Families by Type - Census One parent families with children under 15 and/or dependent students (no.),-0.20174218555387785,-0.1461251033844132
Unpaid Child Care - Proportion of persons aged 15 years and over - Census Unpaid Child Care - Not stated (%),-0.22010904799408912,-0.32258243070960196
Method of Travel to Work - Employed Persons - Census Used one method - Truck (no.),-0.2448843097449845,-0.24351266068098695
AEDC - Health Subdomain 2 - Developmentally Vulnerable (%),-0.2925170347519009,-0.3569130625085428
AEDC - Health Subdomain 3 - Developmentally Vulnerable (%),-0.3034020479335395,-0.2626664666361609
Tenure Type - Occupied private dwellings - Census Owned Outright (%),-0.30378720346469834,-0.24317837158330435
Count of All Children in Family - Census Average number of all children in a family (no.),-0.31045108265706745,-0.2672298366009219
AEDC - Emotional Maturity - Developmentally Vulnerable (%),-0.3121285259639601,-0.3786840358205458
AEDC - Communication Skills and General Knowledge - Developmentally At Risk (%),-0.332043218329649,-0.2997539020487899
Unpaid Work - Persons aged 15 years and over - Census Persons who provided unpaid assistance to a person with a disability (%),-0.35592887923996896,-0.2460160308497154
AEDC - Emotional Maturity - Developmentally At Risk (%),-0.3808423611111471,-0.3285238463172492
Social Marital Status & Registered Marital Status - Persons aged 15 years and over - Census Divorced (%),-0.4230749441413053,-0.4465672668893405
AEDC - Health Subdomain 1 - Developmentally Vulnerable (%),-0.43459470603755757,-0.4884090220685223
AEDC - Physical Health and Wellbeing - Developmentally Vulnerable (%),-0.43766299829128624,-0.4287462670757076
AEDC - Communication Skills and General Knowledge - Developmentally Vulnerable (%),-0.45223889874144957,-0.41505603480697095
AEDC - Language and Cognitive Skills - Developmentally Vulnerable (%),-0.4736371632149669,-0.49196437234969365
AEDC - Language and Cognitive Skills - Developmentally At Risk (%),-0.4996719064068387,-0.4599875555447811
Social Marital Status & Registered Marital Status - Persons aged 15 years and over - Census Widowed (%),-0.510993797500418,-0.4977555493075844
Tenure Type - Occupied private dwellings - Census Tenure Type not stated (%),-0.6238163311468524,-0.5863258309215044
Social Marital Status & Registered Marital Status - Persons aged 15 years and over - Census Separated (%),-0.6652799009669467,-0.6784718256641715
Experimental Index of Household Advantage and Disadvantage (IHAD) - Census Households assigned to IHAD quartile 2 (%),,-0.6176535256499116
Experimental Index of Household Advantage and Disadvantage (IHAD) - Census Households assigned to IHAD quartile 4 (most advantaged) (%),,0.8109913849712974
Experimental Index of Household Advantage and Disadvantage (IHAD) - Census Households assigned to IHAD quartile 3 (%),,0.4541484283354067
Access to Internet at Home - Occupied Private Dwellings - Census Access to Internet at Home - Inadequately described or not stated (%),,-0.6028882877486657
Housing Suitability - Occupied private dwellings - Census Dwellings with bedrooms spare (no.),,0.13462066480686538
Socio-Economic Indexes for Areas (SEIFA) - State Deciles - Census SEIFA state decile ranking - Index of Education and Occupation (IEO),,0.8078164065777823
Socio-Economic Indexes for Areas (SEIFA) - State Deciles - Census SEIFA state decile ranking - Index of Relative Socio-Economic Disadvantage (IRSD),,0.8316510497949906
Experimental Index of Household Advantage and Disadvantage (IHAD) - Census Households assigned to IHAD quartile 1 (most disadvantaged) (%),,-0.7256026993341431
Gifts/donations reported by taxpayers - Year ended 30 June Persons (no.),,0.3497359899100651
Commuting to Work - Census Average commuting distance to place of work (kms),,-0.3363475725093538
Experimental Index of Household Advantage and Disadvantage (IHAD) - Census Households not assigned an IHAD score / Not applicable  (%),,-0.2156152370063678
Gifts/donations reported by taxpayers - Year ended 30 June Median ($),,0.7236512530777286
Socio-Economic Indexes for Areas (SEIFA) - Australia Deciles - Census SEIFA Australia decile ranking - Index of Relative Socio-Economic Disadvantage (IRSD),,0.826317168004618
Access to Internet at Home - Occupied Private Dwellings - Census Internet accessed from dwelling (%),,0.7443921316430515
Commuting to Work - Census Average commuting distance from Place of Usual Residence (kms),,-0.3584643428339574
Housing Suitability - Occupied private dwellings - Census Dwellings with extra bedrooms needed (no.),,-0.08924676430144914
Commuting to Work - Census Median commuting distance from Place of Usual Residence (kms),,-0.047709458616148
Housing Suitability - Occupied private dwellings - Census Dwellings with no bedrooms needed or spare (no.),,0.3215628174013645
Socio-Economic Indexes for Areas (SEIFA) - Australia Deciles - Census SEIFA Australia decile ranking - Index of Economic Resources (IER),,0.46168457185364925
Socio-Economic Indexes for Areas (SEIFA) - State Deciles - Census SEIFA state decile ranking - Index of Relative Socio-Economic Advantage and Disadvantage (IRSAD),,0.8767953611497936
Socio-Economic Indexes for Areas (SEIFA) - Australia Deciles - Census SEIFA Australia decile ranking - Index of Relative Socio-Economic Advantage and Disadvantage (IRSAD),,0.8736748000582092
Access to Internet at Home - Occupied Private Dwellings - Census Internet not accessed from dwelling (%),,-0.7381712960183164
Commuting to Work - Census Median commuting distance to place of work (kms),,-0.03957322304065906
Socio-Economic Indexes for Areas (SEIFA) - State Deciles - Census SEIFA state decile ranking - Index of Economic Resources (IER),,0.47380427766352573
Socio-Economic Indexes for Areas (SEIFA) - Australia Deciles - Census SEIFA Australia decile ranking - Index of Education and Occupation (IEO),,0.7997891834846919
