,Region,Census year,Mean rent per person,Cost of living proportion (Youth Allowance),Cost of living proportion (Newstart)
34,Bayswater North,2011,95.5603448275862,0.8779002555096571,0.7261050682712336
35,Bayswater North,2016,102.467680608365,0.8936424572178485,0.7550348520847219
635,Bayswater North,2021,128.27409462672608,0.9178359570121414,0.7787484982627677
36,Beaconsfield - Officer,2011,101.2982456140351,0.9024054905574848,0.7463731741929887
37,Beaconsfield - Officer,2016,106.65936739659368,0.9097559628523408,0.7686490870005316
636,Beaconsfield - Officer,2021,133.52145481411918,0.9351434101756986,0.7934332064144828
38,Beaumaris,2011,162.64015904572562,1.1643824857814462,0.9630524869153148
39,Beaumaris,2016,189.4766536964981,1.2281186833624775,1.0376324456672776
637,Beaumaris,2021,237.19621700733478,1.2770955588414161,1.0835664488710448
40,Belgrave - Selby,2011,82.24418604651163,0.8210300493124563,0.6790681245019838
41,Belgrave - Selby,2016,102.60089686098657,0.8941545615199283,0.7554675269121652
638,Belgrave - Selby,2021,128.440861299819,0.9183860062332206,0.7792151938651938
42,Bentleigh - McKinnon,2011,146.36112742219612,1.0948585412009229,0.9055497259703146
43,Bentleigh - McKinnon,2016,174.76413155190136,1.1715614259976603,0.9898474505566968
639,Bentleigh - McKinnon,2021,218.77835640417655,1.2163476306683263,1.0320241689288105
44,Bentleigh East (North),2011,132.6903023983316,1.0364736382589437,0.857259987277752
45,Bentleigh East (North),2016,155.0153707052441,1.0956440721365603,0.9257051892079772
640,Bentleigh East (North),2021,194.05588388831188,1.1348050988284772,0.9628384677916014
46,Bentleigh East (South),2011,122.45019404915912,0.9927405255142392,0.8210886402301628
47,Bentleigh East (South),2016,152.31788079470198,1.085274495145605,0.9169439760781511
641,Bentleigh East (South),2021,190.67903302192008,1.1236671768785398,0.9533883695185753
48,Berwick - North,2011,98.58298582151794,0.890809249718206,0.7367820057277213
49,Berwick - North,2016,109.63385269121812,0.9211903538209704,0.7783099570990228
642,Berwick - North,2021,137.2450621592172,0.9474250446401281,0.8038537007548022
50,Berwick - South,2011,96.75247524752476,0.8829915662930803,0.7303160552720761
51,Berwick - South,2016,107.87435456110155,0.9144265652876452,0.7725952598691141
643,Berwick - South,2021,135.04243565007678,0.9401600859213904,0.7976896627816384
52,Blackburn,2011,116.39520958083833,0.9668811000676416,0.7997004930442894
53,Blackburn,2016,149.56161971830986,1.074678992516616,0.9079918793020556
644,Blackburn,2021,187.22860951247824,1.112286589087449,0.9437323786152441
54,Blackburn South,2011,96.21857142857144,0.8807113876940911,0.7284301357420396
55,Blackburn South,2016,119.5759162303665,0.9594092153319104,0.8106009166597372
645,Blackburn South,2021,149.69102747856422,0.9884757737967388,0.838683665128141
56,Boronia,2011,97.00433604336042,0.8840672049684408,0.7312057083834701
57,Boronia,2016,115.48005766458434,0.9436640885101364,0.7972979234940542
646,Boronia,2021,144.56362978472072,0.9715639948701972,0.8243346713440349
58,Box Hill,2011,139.88425129087778,1.067197314930078,0.8826713221154283
59,Box Hill,2016,170.95089285714286,1.1569027345691387,0.9774623822051476
647,Box Hill,2021,214.0047561991007,1.2006027877338943,1.0186652754392957
60,Box Hill North,2011,121.44322344322345,0.988439989080604,0.81753169707956
61,Box Hill North,2016,145.32240762812873,1.058382792119971,0.8942232863299515
648,Box Hill North,2021,181.92175480892536,1.094782904196861,0.9288811753926298
62,Braeside,2011,0.0,0.4697843262865684,0.3885552808194983
63,Braeside,2016,0.0,0.4997405193457243,0.4222287180486537
649,Braeside,2021,0.0,0.49474743143625177,0.4197741615011124
64,Braybrook,2011,95.15124045801528,0.8761530662311137,0.7246599804239324
65,Braybrook,2016,118.37269372693729,0.9547838381107396,0.8066929543893511
650,Braybrook,2021,148.18477422538695,0.983507674276059,0.8344684238190688
66,Brighton (Vic.),2011,187.59071729957805,1.2709404966883535,1.0511858611783045
67,Brighton (Vic.),2016,223.82501313715187,1.3601591986359078,1.1491929362342133
651,Brighton (Vic.),2021,280.1951868581614,1.418919758095425,1.2038988256346606
68,Brighton East,2011,164.67995802728228,1.1730939911479064,0.9702577111525336
69,Brighton East,2016,186.4422535211268,1.216453970135225,1.027776977235788
652,Brighton East,2021,233.3976052604894,1.2645665361429141,1.0729360551317095
70,Broadmeadows,2011,81.85194174757281,0.8193548654604861,0.6776825918317655
71,Broadmeadows,2016,101.01785714285715,0.8880691069746753,0.7503259512905817
653,Broadmeadows,2021,126.45913413086596,0.9118496433889076,0.7736693414607189
72,Brunswick,2011,162.42312220390863,1.1634555720858792,0.962285843178766
73,Brunswick,2016,199.5192607003891,1.2667240498217816,1.0702499616758878
654,Brunswick,2021,249.76804759301675,1.318561431446202,1.118748646488636
74,Brunswick East,2011,165.98879367172052,1.1786837227064724,0.9748809384377268
75,Brunswick East,2016,215.0216,1.3263174889960985,1.1206002143622724
655,Brunswick East,2021,269.1746402517713,1.3825705105851915,1.1730578875614517
76,Brunswick West,2011,150.13502285002076,1.1109759677558009,0.9188803350406948
77,Brunswick West,2016,171.39388145315488,1.1586056526540254,0.9789011707205656
656,Brunswick West,2021,214.55931116458865,1.2024318853656633,1.0202171944102554
78,Bulleen,2011,116.06666666666668,0.9654779699622748,0.7985399740963145
79,Bulleen,2016,131.43208092485548,1.0049861838078518,0.8491087106591818
657,Bulleen,2021,164.53315899653643,1.0374298167671105,0.8802192872137811
80,Bundoora - East,2011,93.66731898238748,0.8698155839521139,0.7194182938268721
81,Bundoora - East,2016,113.07890743550834,0.9344336880293246,0.7894991959320158
658,Bundoora - East,2021,141.55775154224654,0.9616496579390357,0.815922737885308
82,Bundoora - North,2011,140.6625386996904,1.0705211988028631,0.8854204828671508
83,Bundoora - North,2016,156.53836477987423,1.1014987017505304,0.9306517417904908
659,Bundoora - North,2021,195.96244296025696,1.141093533519986,0.9681739626967887
84,Bundoora - West,2011,102.44519015659957,0.9073038230049094,0.7504245501822661
85,Bundoora - West,2016,114.2941176470588,0.9391051478926664,0.7934460932380356
660,Bundoora - West,2021,143.079011599489,0.9666672546448176,0.8201799756516688
86,Bunyip - Garfield,2011,73.0,0.7815502882767457,0.6464146944542564
87,Bunyip - Garfield,2016,88.85616438356163,0.8413176403927255,0.7108258286516667
661,Bunyip - Garfield,2021,111.23452751768875,0.8616340766122624,0.7310633649591806
88,Burnside,2011,86.39449541284404,0.838755051944668,0.6937283483321937
89,Burnside,2016,100.32758620689656,0.8854155965437045,0.7480840111952209
662,Burnside,2021,125.59501894028303,0.9089995182488679,0.77125111993027
90,Burnside Heights,2011,96.7846153846154,0.8831288293171702,0.7304295845447382
91,Burnside Heights,2016,105.07817589576548,0.9036776131461184,0.7635135142283461
663,Burnside Heights,2021,131.54204133470787,0.9286146786111049,0.7878938288572568
92,Burwood,2011,118.1511423550088,0.9743802791159888,0.8059030107912709
93,Burwood,2016,149.76630083925113,1.0754658190526116,0.908656665819777
664,Burwood,2021,187.48483943121983,1.1131317163818124,0.944449436610519
94,Burwood East,2011,108.73383458646616,0.9341611556116428,0.7726380592951825
95,Burwood East,2016,124.49230769230768,0.9783086001203516,0.8265689294628201
665,Burwood East,2021,155.8456087071706,1.0087755288261973,0.8559072262923325
96,Cairnlea,2011,86.05761316872427,0.8373163065074708,0.6925383721961296
97,Cairnlea,2016,102.57089552238806,0.8940392316389109,0.7553700851680408
666,Cairnlea,2021,128.40330414498277,0.9182621308606388,0.7791100903773288
98,Camberwell,2011,159.17375366568916,1.1495782774532957,0.9508080313164576
99,Camberwell,2016,193.2680756395996,1.2426935077540493,1.0499466551027952
667,Camberwell,2021,241.9425059270388,1.2927503205206023,1.0968489118811167
100,Campbellfield - Coolaroo,2011,97.03800904977376,0.8842110145196402,0.7313246522422244
101,Campbellfield - Coolaroo,2016,103.87800963081862,0.8990639845880739,0.7596154783553172
668,Campbellfield - Coolaroo,2021,130.03961403154682,0.9236591982833808,0.7836892944479181
102,Carlton,2011,202.4273074602856,1.3343041104432438,1.1035934562355545
103,Carlton,2016,230.10596235963945,1.384304158839216,1.169592914221441
669,Carlton,2021,288.05798876923797,1.4448537650914062,1.2259028328298038
104,Carlton North - Princes Hill,2011,183.7202998846597,1.2544108472545792,1.0375143054915563
105,Carlton North - Princes Hill,2016,207.41809290953543,1.29708840759427,1.095904683197036
670,Carlton North - Princes Hill,2021,259.6561951944953,1.351175668962829,1.146420572276702
106,Carnegie,2011,159.17862481315396,1.1495990809872048,0.9508252377716496
107,Carnegie,2016,192.1491909385113,1.2383923383570503,1.0463126146952202
671,Carnegie,2021,240.541830893002,1.2881304513514915,1.0929291306281277
108,Caroline Springs,2011,100.2098901098901,0.8977573782186209,0.7425287534789476
109,Caroline Springs,2016,114.77031509121062,0.9409357260315244,0.794992741210207
672,Caroline Springs,2021,143.67513903839918,0.9686334714395473,0.8218482349571108
110,Carrum - Patterson Lakes,2011,110.31271878646442,0.9409042015223764,0.7782151846925623
111,Carrum - Patterson Lakes,2016,130.41601779755285,1.0010802767699574,0.8458086257999703
673,Carrum - Patterson Lakes,2021,163.261201078054,1.0332344973466827,0.8766597200891433
112,Carrum Downs,2011,95.30337078651684,0.8768027793573215,0.7251973535376787
113,Carrum Downs,2016,111.88026052104208,0.9298259000943436,0.7856060947774923
674,Carrum Downs,2021,140.05722623692674,0.9567004510016219,0.811723526206296
114,Caulfield - North,2011,156.48647506339813,1.1381015377467356,0.9413157013896084
115,Caulfield - North,2016,189.45394976337823,1.2280314058599504,1.037558705262848
675,Caulfield - North,2021,237.16779510446628,1.277001814418478,1.0834869103347455
116,Caulfield - South,2011,152.28211749515816,1.120145707858886,0.926464561975126
117,Caulfield - South,2016,182.0637054354179,1.199622140178822,1.0135558330423784
676,Caulfield - South,2021,227.91632288794747,1.246487533644301,1.0575967170524787
118,Chelsea - Bonbeach,2011,113.1758823529412,0.9531321048598812,0.7883287967253308
119,Chelsea - Bonbeach,2016,135.61611639619474,1.0210702765725286,0.8626980947617485
677,Chelsea - Bonbeach,2021,169.7709408882088,1.054705677682632,0.8948771905584642
120,Chelsea Heights,2011,112.390625,0.9497784539824898,0.7855550158954433
121,Chelsea Heights,2016,108.52,0.9169085282641704,0.7746922602228068
678,Chelsea Heights,2021,135.8506864432329,0.9428259526138593,0.79995154810817
122,Cheltenham - Highett (East),2011,124.56379988757728,1.0017672427400268,0.8285545739582382
123,Cheltenham - Highett (East),2016,154.64278982092367,1.0942118124086482,0.9244950788298538
679,Cheltenham - Highett (East),2021,193.58946876768385,1.133266714275719,0.9615332076837809
124,Cheltenham - Highett (West),2011,122.08371040723982,0.9911753594159292,0.8197941024628747
125,Cheltenham - Highett (West),2016,154.23595505617976,1.0926478753577171,0.923173714820812
680,Cheltenham - Highett (West),2021,193.0801729506969,1.1315868956270823,0.9601079461869029
126,Chirnside Park,2011,97.74342105263158,0.8872236645425221,0.7338163936864414
127,Chirnside Park,2016,110.6075,0.9249332077575106,0.7814722790607036
681,Chirnside Park,2021,138.4639218648164,0.9514452293643035,0.8072646728275047
128,Clarinda - Oakleigh South,2011,92.45616641901933,0.8646430340338216,0.7151401145143741
129,Clarinda - Oakleigh South,2016,109.97983870967742,0.922520378686749,0.7794336896608446
682,Clarinda - Oakleigh South,2021,137.67818451553362,0.9488536191286958,0.805065791247803
130,Clayton,2011,126.8833276969902,1.0116734046422813,0.8367478901341935
131,Clayton,2016,153.6117911566325,1.090248490809128,0.9211464846426728
683,Clayton,2021,192.29881380762114,1.1290097260999759,0.9579213169927973
132,Clayton South,2011,111.672454617206,0.946711315896673,0.7830182077612362
133,Clayton South,2016,138.26394984326018,1.0312489662800477,0.8712980280076008
684,Clayton South,2021,173.0856293453705,1.0656385683505798,0.9041533276767475
134,Coburg,2011,135.10157480314962,1.0467716199152235,0.8657773747903553
135,Coburg,2016,160.52320675105483,1.1168170632596723,0.9435941626913992
685,Coburg,2021,200.95086460744358,1.1575469254990964,0.9821340327912004
136,Coburg North,2011,109.64668769716089,0.938059738189882,0.7758625492658455
137,Coburg North,2016,126.3108108108108,0.9852992131424484,0.8324752697743053
686,Coburg North,2021,158.1221005699406,1.016284118838137,0.8622779760447217
138,Collingwood,2011,152.4979154258487,1.1210673304541905,0.9272268294802144
139,Collingwood,2016,207.53547297297297,1.2975396350855248,1.0962859234563416
687,Collingwood,2021,259.803137345184,1.3516603306403152,1.1468317890639987
140,Craigieburn - Central,2011,89.23789473684211,0.8508985468154692,0.7037721467214486
141,Craigieburn - Central,2016,100.35472370766487,0.8855199173800714,0.748172151442609
688,Craigieburn - Central,2021,125.62899100172541,0.909111568849796,0.771346190554313
142,Craigieburn - North,2011,96.502538071066,0.8819241429471107,0.7294331970012927
143,Craigieburn - North,2016,107.25806451612902,0.9120574490788592,0.7705936032873073
689,Craigieburn - North,2021,134.2709333863682,0.9376154274992766,0.795530618009342
144,Craigieburn - South,2011,91.08280254777073,0.8587777174792685,0.7102889528356435
145,Craigieburn - South,2016,104.84569983136592,0.9027839384602838,0.7627584521464352
690,Craigieburn - South,2021,131.25101633535016,0.927654786138332,0.787079397023382
146,Craigieburn - West,2011,104.0,0.9139440529575058,0.7559166372306605
147,Craigieburn - West,2016,113.32434514637904,0.935377189330075,0.7902963563167984
691,Craigieburn - West,2021,141.8650025697146,0.9626630689833422,0.8167825781681465
148,Cranbourne,2011,85.87910798122066,0.8365539525142885,0.691907834621055
149,Cranbourne,2016,100.60073645449762,0.8864656292098242,0.7489711794942923
692,Cranbourne,2021,125.93696188756225,0.9101273542146288,0.7722080453567723
150,Cranbourne East,2011,102.14221218961625,0.906009874822192,0.7493543348273269
151,Cranbourne East,2016,107.5638852672751,0.913233072317355,0.7715868825466079
693,Cranbourne East,2021,134.65377488076356,0.9388781598059387,0.7966019977913262
152,Cranbourne North,2011,88.21115973741794,0.8465136012702026,0.7001453893939171
153,Cranbourne North,2016,99.00545171339564,0.8803331028634964,0.7437898331007686
694,Cranbourne North,2021,123.9399057951266,0.9035404317335178,0.76661929504562
154,Cranbourne South,2011,99.70731707317071,0.8956110060780299,0.7407535043206313
155,Cranbourne South,2016,109.2741116751269,0.9198074525731904,0.7771415494986096
695,Cranbourne South,2021,136.79472061869217,0.9459396758371693,0.8025934224710487
156,Cranbourne West,2011,87.48048048048048,0.8433930407024577,0.697564395904205
157,Cranbourne West,2016,99.57142857142856,0.8825088072401966,0.7456280768177874
696,Cranbourne West,2021,124.64842353079518,0.9058773472658449,0.7686020779682796
158,Croydon - East,2011,106.3103666245259,0.9238110895773048,0.7640775931632846
159,Croydon - East,2016,118.48978400467016,0.9552339516200056,0.8070732534498365
697,Croydon - East,2021,148.33135360804295,0.9839911394298627,0.834878625402054
160,Croydon - West,2011,100.15309842041312,0.8975148341678972,0.7423281470166482
161,Croydon - West,2016,117.0265748031496,0.94960914449478,0.8023208769467979
698,Croydon - West,2021,146.49963618787507,0.9779495561715621,0.829752574441001
162,Croydon Hills - Warranwood,2011,98.65414710485132,0.8911131629504647,0.7370333702043493
163,Croydon Hills - Warranwood,2016,111.0747922437673,0.9267295529004838,0.782990003714857
699,Croydon Hills - Warranwood,2021,139.0489013348255,0.9533746766325032,0.8089017346042943
164,Croydon South,2011,89.17977528089888,0.8506503321840652,0.7035668501621295
165,Croydon South,2016,102.38078291814946,0.8933084087806311,0.7547526159282519
700,Croydon South,2021,128.16531181373207,0.9174771568967199,0.778444070168699
166,Dandenong,2011,104.61783132530118,0.9165826663476454,0.7580990156315831
167,Dandenong,2016,123.77092155676549,0.9755354779509312,0.8242259298995274
701,Dandenong,2021,154.9425419756554,1.0057969291873126,0.8533799990923234
168,Dandenong North,2011,86.91296728971962,0.8409693243208184,0.6955597572932519
169,Dandenong North,2016,100.05194123819516,0.8843559737759055,0.7471887402585182
702,Dandenong North,2021,125.24995297813125,0.9078613815925302,0.7702854547641045
170,Deer Park - Derrimut,2011,86.73340961098398,0.8402024753832329,0.6949255019815753
171,Deer Park - Derrimut,2016,99.8193677872554,0.8834619247208388,0.7464333618735763
703,Deer Park - Derrimut,2021,124.95880606550097,0.9069010870112341,0.7694706817566178
172,Delahey,2011,89.73809523809524,0.8530347864108274,0.7055390153235437
173,Delahey,2016,109.77551020408164,0.9217349076597984,0.7787700484071637
704,Delahey,2021,137.4223960180667,0.9480099477812778,0.8043499685674975
174,Dingley Village,2011,112.16510903426791,0.948815327927687,0.7847584211736768
175,Dingley Village,2016,133.19016393442624,1.0117445323944343,0.8548188117003678
705,Dingley Village,2021,166.73401398800698,1.0446889324604018,0.8863783676046482
176,Docklands,2011,284.9334565619224,1.686668616536077,1.3950316374493903
177,Docklands,2016,286.5104094378904,1.6011317563491665,1.3527896633144645
706,Docklands,2021,358.6678565726971,1.6777474366235041,1.4235041531691468
178,Doncaster,2011,130.58133971291866,1.0274667508559414,0.8498104546553114
179,Doncaster,2016,162.08755760368663,1.122830674856081,0.9486750384997454
707,Doncaster,2021,202.90919613313554,1.1640061221140081,0.9876144126187907
180,Doncaster East (North),2011,121.96086105675148,0.9906506985127118,0.8193601591548973
181,Doncaster East (North),2016,143.43333333333334,1.0511208923571735,0.8880877369623351
708,Doncaster East (North),2021,179.55691846824888,1.086982926161416,0.9222631941126643
182,Doncaster East (South),2011,119.34261603375528,0.9794687851110624,0.8101116779715835
183,Doncaster East (South),2016,144.46861313868612,1.0551006713386746,0.8914502359241486
709,Doncaster East (South),2021,180.85293277176885,1.091257591146557,0.9258900828963545
184,Donvale - Park Orchards,2011,117.30534351145036,0.9707680696623974,0.8029153779987649
185,Donvale - Park Orchards,2016,123.20284697508896,0.973351709593438,0.8223808729581635
710,Donvale - Park Orchards,2021,154.23139820610402,1.0034513521648631,0.8513898672285224
186,Doreen,2011,101.0,0.9011317531496904,0.7453196750264923
187,Doreen,2016,98.84779516358464,0.8797270462013363,0.7432777783090865
711,Doreen,2021,123.74254355301368,0.9028894686511987,0.7660669779143204
188,Doveton,2011,82.7958833619211,0.8233862197818539,0.6810168963684955
189,Doveton,2016,97.18083573487031,0.8733189910426137,0.7378636387504314
712,Doveton,2021,121.65576155279378,0.896006601754024,0.7602271301518009
190,Dromana,2011,96.4390243902439,0.8816528908402472,0.7292088463095863
191,Dromana,2016,113.88782358581015,0.9375432893913168,0.7921264853870219
713,Dromana,2021,142.57039266179603,0.9649896685581281,0.818756608397711
192,East Melbourne,2011,240.3012244897959,1.4960547704027158,1.237376278664062
193,East Melbourne,2016,269.6808134394341,1.5364361329288028,1.2981285960551954
714,East Melbourne,2021,337.59973853959207,1.6082581214096743,1.3645451426241262
194,Edithvale - Aspendale,2011,117.01494252873565,0.9695278348440556,0.8018895885861379
195,Edithvale - Aspendale,2016,142.30076004343107,1.0467671018641516,0.884409237206246
715,Edithvale - Aspendale,2021,178.13910738383586,1.0823065368795812,0.9182954577184879
196,Elsternwick,2011,169.25306416726747,1.1926246601207235,0.9864113887928908
197,Elsternwick,2016,198.818473380372,1.2640301127505795,1.067973865277768
716,Elsternwick,2021,248.89076747437477,1.3156678842105474,1.116293582980606
198,Eltham,2011,105.89769820971868,0.922048679093396,0.7626199159650959
199,Eltham,2016,125.78215223097112,0.9832669661174818,0.8307582325862195
717,Eltham,2021,157.46029969484553,1.0141012902843,0.86042592999523
200,Elwood,2011,198.52868174296748,1.317653989933664,1.0898222597773488
201,Elwood,2016,220.51095085470084,1.3474194201268603,1.1384291495491925
718,Elwood,2021,276.0464802972823,1.4052360119969072,1.1922886935152792
202,Emerald - Cockatoo,2011,82.69794050343249,0.8229679286928572,0.6806709307786383
203,Emerald - Cockatoo,2016,98.81896551724138,0.8796162204902893,0.7431841421197226
719,Emerald - Cockatoo,2021,123.7064531803114,0.9027704311899053,0.7659659792080581
204,Endeavour Hills - North,2011,79.5408163265306,0.8094845881978672,0.6695189555864733
205,Endeavour Hills - North,2016,92.20840064620356,0.8542041657070505,0.7217136011114474
720,Endeavour Hills - North,2021,115.43102214909128,0.8754754428784118,0.7428072317267866
206,Endeavour Hills - South,2011,87.6973058637084,0.8443190513077445,0.6983302927011952
207,Endeavour Hills - South,2016,98.6580226904376,0.8789975308606593,0.742661413785565
721,Endeavour Hills - South,2021,123.50497701463316,0.9021058990868055,0.7654021492846577
208,Epping - East,2011,95.41389728096678,0.8772748122185213,0.7255877685657603
209,Epping - East,2016,104.3579604578564,0.9009089913231836,0.7611743169893677
722,Epping - East,2021,130.64044014020948,0.9256409127767188,0.7853707029543971
210,Epping - South,2011,95.3637532133676,0.8770606586093,0.7254106436360565
211,Epping - South,2016,100.95947556615018,0.8878446789788002,0.7501363329960381
723,Epping - South,2021,126.38604919471335,0.9116085861593197,0.77346481367544
212,Epping - West,2011,99.468438538206,0.8945908116088234,0.7399097087184952
213,Epping - West,2016,114.03030303030305,0.9380910028650626,0.7925892462577644
724,Epping - West,2021,142.74875545518356,0.965577965450743,0.8192557556779592
214,Essendon - Aberfeldie,2011,139.42432915921287,1.0652330948503643,0.8810467296333905
215,Essendon - Aberfeldie,2016,166.5964961853631,1.1401637464599654,0.9633196797082176
725,Essendon - Aberfeldie,2021,208.55370775727044,1.182623506299027,1.003410546846154
216,Essendon Airport,2011,0.0,0.4697843262865684,0.3885552808194983
217,Essendon Airport,2016,0.0,0.4997405193457243,0.4222287180486537
726,Essendon Airport,2021,0.0,0.49474743143625177,0.4197741615011124
218,Fawkner,2011,100.8198689956332,0.9003624556721469,0.7446833945448011
219,Fawkner,2016,116.39685314685316,0.9471883950520044,0.8002755956570632
727,Fawkner,2021,145.71131957088247,0.975349438695458,0.8275464747950312
220,Ferntree Gully (North),2011,95.04902962206332,0.8757165476065056,0.7242989389687858
221,Ferntree Gully (North),2016,109.66822429906544,0.9213224837067886,0.7784215930983971
728,Ferntree Gully (North),2021,137.28809023256971,0.9475669648319335,0.8039741145775526
222,Ferntree Gully (South) - Upper Ferntree Gully,2011,90.13434903047091,0.854727093873461,0.7069387108105648
223,Ferntree Gully (South) - Upper Ferntree Gully,2016,104.00125628140704,0.8995377641663254,0.7600157727805614
729,Ferntree Gully (South) - Upper Ferntree Gully,2021,130.19390026527572,0.9241680830690031,0.7841210636105496
224,Fitzroy,2011,161.62341772151896,1.1600402208905358,0.9594610304539702
225,Fitzroy,2016,198.6776755852843,1.2634888638025807,1.067516566258353
730,Fitzroy,2021,248.71450985262433,1.3150865308396666,1.115800327011416
226,Fitzroy North,2011,162.11483693155716,1.1621389576406458,0.9611968807190292
227,Fitzroy North,2016,199.1893142616744,1.2654556836322466,1.069178324277094
731,Fitzroy North,2021,249.35500437343615,1.3171990842998043,1.1175927473475482
228,Flemington,2011,129.06451612903226,1.0209887513518354,0.844452547259033
229,Flemington,2016,153.2154488517745,1.08872488843014,0.9198591992327602
732,Flemington,2021,191.80265296923693,1.1273732307641768,0.9565328136601143
230,Flemington Racecourse,2011,165.0,1.1744608157164211,0.971388202048746
231,Flemington Racecourse,2016,72.0,0.7765198839064332,0.6560784695832927
733,Flemington Racecourse,2021,90.13314987018764,0.7920350606731456,0.6720112775691932
232,Flinders,2011,90.0,0.8541533205210335,0.7064641469445425
233,Flinders,2016,115.0,0.9418186710746344,0.7957387378609244
734,Flinders,2021,143.96266993154973,0.9695818392451794,0.8226528885542971
234,Footscray,2011,128.49803304484658,1.0185694343149545,0.8424515473148942
235,Footscray,2016,157.27321960465747,1.1043235996873064,0.9330384864875686
735,Footscray,2021,196.88237046102114,1.1441277453073904,0.9707483746652893
236,Forest Hill,2011,101.98901098901098,0.905355588251168,0.7488131790498445
237,Forest Hill,2016,119.75025906735752,0.9600794167157728,0.8111671670640733
736,Forest Hill,2021,149.90927843766573,0.9891956344728986,0.8392944392171654
238,Frankston,2011,100.11898734177214,0.8973691537124584,0.7422076557462809
239,Frankston,2016,115.13090241343129,0.942321880613648,0.7961638975394826
737,Frankston,2021,144.12654002666318,0.9701223346361567,0.8231114780994394
