hl_p_homeless_tot, sa2_main11, sa2_name_2011
108,"212021297","Hallam"
3,"212031303","Cranbourne South"
120,"212021298","Narre Warren"
31,"212021299","Narre Warren North"
85,"212031300","Cranbourne"
11,"212031301","Cranbourne East"
91,"212031307","Narre Warren South"
7,"212031308","Pearcedale - Tooradin"
56,"212041309","Clarinda - Oakleigh South"
629,"212041311","Dandenong"
184,"212041312","Dandenong North"
3,"212041313","Dingley Village"
63,"212041314","Keysborough"
192,"212041317","Springvale"
348,"212041315","Noble Park"
31,"212041316","Noble Park North"
71,"212041318","Springvale South"
82,"212051319","Ashwood - Chadstone"
64,"212051322","Glen Waverley - West"
27,"212051324","Mount Waverley - South"
165,"212051326","Oakleigh - Huntingdale"
64,"213011329","Cairnlea"
71,"212051325","Mulgrave"
69,"213011328","Ardeer - Albion"
33,"213021342","Altona Meadows"
25,"212051327","Wheelers Hill"
103,"213011330","Deer Park - Derrimut"
50,"213011332","Keilor Downs"
109,"213011333","Kings Park (Vic.)"
173,"213011334","St Albans - North"
50,"213021343","Altona North"
102,"213011335","St Albans - South"
98,"213011337","Sunshine North"
169,"213011336","Sunshine"
29,"213011339","Sydenham"
126,"213011338","Sunshine West"
16,"213011340","Taylors Lakes"
36,"213021341","Altona"
0,"213021345","Seabrook"
33,"213021346","Williamstown"
68,"213031352","Yarraville"
64,"213041353","Bacchus Marsh"
57,"213021344","Newport"
138,"213031347","Braybrook"
264,"213031348","Footscray"
24,"213031349","Maribyrnong"
55,"213031350","Seddon - Kingsville"
80,"213041354","Caroline Springs"
35,"213041355","Hillside"
71,"213041356","Melton"
22,"213041357","Melton South"
31,"213041358","Melton West"
3,"213041359","Rockbank - Mount Cottrell"
171,"214011371","Frankston"
26,"213051361","Hoppers Crossing - North"
133,"213051362","Hoppers Crossing - South"
3,"213051363","Laverton"
33,"213051364","Point Cook"
37,"213051365","Tarneit"
52,"214011370","Carrum Downs"
33,"213051366","Truganina"
27,"214011373","Frankston South"
34,"214011374","Langwarrin"
0,"216011408","Lockington - Gunbower"
32,"214011375","Seaford (Vic.)"
0,"214011376","Skye - Sandhurst"
4,"214021377","Dromana"
6,"214021378","Flinders"
60,"214021379","Hastings - Somers"
69,"214021380","Mornington"
3,"214021381","Mount Eliza"
27,"214021382","Mount Martha"
26,"214021383","Point Nepean"
43,"214021384","Rosebud - McCrae"
36,"216031415","Mooroopna"
110,"216031416","Shepparton - North"
195,"216031417","Shepparton - South"
25,"214021385","Somerville"
0,"216031418","Shepparton Region - East"
13,"216031419","Shepparton Region - West"
14,"217011420","Glenelg (Vic.)"
30,"217011421","Hamilton (Vic.)"
20,"217011422","Portland"
4,"217011423","Southern Grampians"
22,"215011386","Ararat"
6,"215011387","Ararat Region"
6,"216011409","Rochester"
6,"216011410","Rushworth"
67,"215011388","Horsham"
4,"215011389","Horsham Region"
4,"215011390","Nhill Region"
10,"215011391","St Arnaud"
24,"215011392","Stawell"
3,"215011393","West Wimmera"
3,"215011394","Yarriambiack"
14,"215021395","Irymple"
11,"215021396","Merbein"
16,"217021424","Camperdown"
44,"217021425","Colac"
4,"217021426","Colac Region"
14,"217021427","Corangamite - North"
3,"217021428","Corangamite - South"
0,"217021429","Moyne - East"
3,"217021430","Moyne - West"
3,"217021431","Otway"
74,"217021432","Warrnambool - North"
49,"217021433","Warrnambool - South"
